,output_First,output_Second,output_Upstream,output_Total
CAN_20T21,1000.0,7094.0,338106.0,346200.0
CAN_22,1000.0,7094.0,338106.0,346200.0
CAN_23,1000.0,7094.0,338106.0,346200.0
CAN_24,1000.0,7094.0,338106.0,346200.0
CAN_25,1000.0,7094.0,338106.0,346200.0
CAN_26,1000.0,7094.0,338106.0,346200.0
CAN_27,1000.0,7094.0,338106.0,346200.0
CAN_28,1000.0,7094.0,338106.0,346200.0
CAN_29,1000.0,7094.0,338106.0,346200.0
CAN_30,1000.0,7094.0,338106.0,346200.0
CAN_31T33,1000.0,7094.0,338106.0,346200.0
CAN_35T39,1000.0,7094.0,338106.0,346200.0
CAN_41T43,1000.0,7094.0,338106.0,346200.0
CAN_45T47,1000.0,7094.0,338106.0,346200.0
CAN_49T53,1000.0,7094.0,338106.0,346200.0
CAN_55T56,1000.0,7094.0,338106.0,346200.0
CAN_58T60,1000.0,7094.0,338106.0,346200.0
CAN_61,1000.0,7094.0,338106.0,346200.0
CAN_62T63,1000.0,7094.0,338106.0,346200.0
CAN_64T66,1000.0,7094.0,338106.0,346200.0
CAN_68,1000.0,7094.0,338106.0,346200.0
CAN_69T82,1000.0,7094.0,338106.0,346200.0
CAN_84,1000.0,7094.0,338106.0,346200.0
CAN_85,1000.0,7094.0,338106.0,346200.0
CAN_86T88,1000.0,7094.0,338106.0,346200.0
CAN_90T96,1000.0,7094.0,338106.0,346200.0
CAN_97T98,1000.0,7094.0,338106.0,346200.0
CHL_01T03,1000.0,7094.0,338106.0,346200.0
CHL_05T06,1000.0,7094.0,338106.0,346200.0
CHL_07T08,1000.0,7094.0,338106.0,346200.0
CHL_09,1000.0,7094.0,338106.0,346200.0
CHL_10T12,1000.0,7094.0,338106.0,346200.0
CHL_13T15,1000.0,7094.0,338106.0,346200.0
CHL_16,1000.0,7094.0,338106.0,346200.0
CHL_17T18,1000.0,7094.0,338106.0,346200.0
CHL_19,1000.0,7094.0,338106.0,346200.0
CHL_20T21,1000.0,7094.0,338106.0,346200.0
CHL_22,1000.0,7094.0,338106.0,346200.0
CHL_23,1000.0,7094.0,338106.0,346200.0
CHL_24,1000.0,7094.0,338106.0,346200.0
CHL_25,1000.0,7094.0,338106.0,346200.0
CHL_26,1000.0,7094.0,338106.0,346200.0
CHL_27,1000.0,7094.0,338106.0,346200.0
CHL_28,1000.0,7094.0,338106.0,346200.0
CHL_29,1000.0,7094.0,338106.0,346200.0
CHL_30,1000.0,7094.0,338106.0,346200.0
CHL_31T33,1000.0,7094.0,338106.0,346200.0
CHL_35T39,1000.0,7094.0,338106.0,346200.0
CHL_41T43,1000.0,7094.0,338106.0,346200.0
CHL_45T47,1000.0,7094.0,338106.0,346200.0
CHL_49T53,1000.0,7094.0,338106.0,346200.0
CHL_55T56,1000.0,7094.0,338106.0,346200.0
